Date,Open,High,Low,Close,Adj. Close,Change,Volume
2002-07-29,82.06,82.16,81.32,81.42,36.383,0.00%,8400
2002-07-30,81.75,81.90,81.52,81.52,36.427,+0.12%,6100
2002-07-31,81.95,82.80,81.90,82.53,36.879,+1.24%,29400
2002-08-01,82.54,83.02,82.54,83.00,37.089,+0.57%,25000
2002-08-02,83.16,84.10,82.88,83.85,37.469,+1.02%,52800
2002-08-05,84.04,84.44,83.85,84.22,37.634,+0.44%,61100
2002-08-06,83.80,83.90,83.22,83.50,37.312,-0.85%,64900
2002-08-07,83.60,84.14,83.36,83.70,37.402,+0.24%,40300
2002-08-08,83.58,83.77,83.36,83.70,37.402,0.00%,40900
2002-08-09,84.00,84.88,84.00,84.88,37.929,+1.41%,35900
2002-08-12,85.30,86.70,85.14,85.40,38.161,+0.61%,32100
2002-08-13,85.78,86.47,85.37,86.45,38.630,+1.23%,75400
2002-08-14,87.46,87.90,86.75,86.78,38.778,+0.38%,130000
2002-08-15,86.38,86.50,85.85,86.02,38.438,-0.88%,87100
2002-08-16,86.44,86.52,84.82,85.06,38.009,-1.12%,85000
2002-08-19,85.05,85.34,84.71,85.32,38.125,+0.31%,47300
2002-08-20,85.62,86.29,85.60,86.27,38.550,+1.11%,40800
2002-08-21,85.68,86.10,85.63,85.81,38.344,-0.53%,40000
2002-08-22,85.55,85.55,85.06,85.06,38.009,-0.87%,34400
2002-08-23,85.20,85.95,85.20,85.90,38.385,+0.99%,20100
2002-08-26,85.70,86.21,85.67,85.98,38.420,+0.09%,23900
2002-08-27,85.40,85.68,85.20,85.44,38.179,-0.63%,301800
2002-08-28,86.04,86.18,85.84,85.87,38.371,+0.50%,18100
2002-08-29,86.76,86.86,86.35,86.56,38.680,+0.80%,135700
2002-08-30,86.75,87.13,86.45,87.08,38.912,+0.60%,78100
2002-09-03,87.08,88.04,87.00,88.04,39.507,+1.10%,102100
2002-09-04,88.03,88.30,87.84,88.02,39.498,-0.02%,66300
2002-09-05,88.57,88.65,87.38,88.50,39.714,+0.55%,648400
2002-09-06,87.97,88.19,87.20,87.46,39.247,-1.18%,140000
2002-09-09,87.50,87.83,87.26,87.33,39.189,-0.15%,83800
2002-09-10,87.17,88.00,87.00,87.75,39.377,+0.48%,336000
2002-09-11,87.00,87.30,86.75,87.29,39.171,-0.52%,177700
2002-09-12,87.48,88.14,87.47,87.97,39.476,+0.78%,43400
2002-09-13,88.33,88.94,88.18,88.78,39.839,+0.92%,155100
2002-09-16,89.20,89.22,88.90,88.93,39.907,+0.17%,73000
2002-09-17,88.64,89.32,88.36,89.10,39.983,+0.19%,75400
2002-09-18,89.46,89.56,89.02,89.12,39.992,+0.02%,196600
2002-09-19,89.70,89.77,89.26,89.72,40.261,+0.67%,109900
